	[psi_1, psi2]	prefrence distribution	sampled prefrence
59	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
60	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
61	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
62	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
63	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
64	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
65	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
66	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
67	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
68	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
69	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
70	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
71	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
72	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
73	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
74	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
75	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
76	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
77	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
78	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
79	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
80	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
81	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
82	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
83	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
84	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
85	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
86	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
87	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
88	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
89	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
90	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
91	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
92	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
93	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
94	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
95	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
96	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[1 0]
97	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
98	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
99	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.11920292202211755, 0.8807970779778823]	[0 1]
100	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
101	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
102	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
103	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
104	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
105	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
106	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
107	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
108	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
109	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
110	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
111	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
112	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
113	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
114	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
115	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
116	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
117	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
118	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
119	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
120	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
121	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
122	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
123	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
124	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
125	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
126	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
127	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
128	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
129	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
130	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
131	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
132	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
133	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
134	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
135	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
136	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
137	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
138	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
139	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
140	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
141	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
142	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
143	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
144	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
145	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
146	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
147	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
148	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
149	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[1 0]
150	[[2.0, 0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]	[0.2689414213699951, 0.7310585786300049]	[0 1]
