	[psi_1, psi2]	[ssx,ssy, esx,esy]	sampled prefrence	ER
11	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 8. 1. 6.]
 [2. 8. 3. 9.]]"	[0, 1]	[-7.120039036640847, -0.9114262236887001]
12	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 6. 4. 6.]
 [7. 6. 6. 7.]]"	[0, 1]	[-5.135428924261291, -2.0009999999999977]
13	"[[2. 0. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[3. 7. 2. 5.]
 [3. 7. 4. 9.]]"	[0, 1]	[-9.12203603764086, -0.865571075738707]
14	"[[3. 0. 0. 0. 1. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[7. 6. 6. 4.]
 [7. 6. 8. 8.]]"	[0, 1]	[-7.1314349202622935, 0.14385204999999956]
15	"[[2. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [6. 8. 8. 9.]]"	[0, 1]	[-0.9500000000000028, 0.09794999999999732]
16	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 0. 0. 2.]
 [5. 5. 5. 6.]]"	[0, 1]	[-3.9625988998707626, -1.9562355164907572]
17	"[[2. 0. 0. 0. 0. 1.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 1. 5. 1.]
 [5. 1. 5. 4.]]"	[0, 1]	[-4.0, 0.12191000260321516]
18	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[9. 6. 9. 3.]
 [7. 5. 8. 7.]]"	[0, 1]	[-7.1384119442513025, 0.13870819795000955]
19	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 9. 1. 6.]
 [1. 9. 4. 9.]]"	[0, 1]	[-7.120039036640847, 0.13442892426130015]
20	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[4. 4. 6. 3.]
 [7. 1. 6. 3.]]"	[0, 1]	[-93.63632030840625, -91.64230532839126]
21	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 1. 0. 0.]]"	"[[7. 4. 6. 3.]
 [5. 3. 6. 3.]]"	[0, 1]	[-95.76748051024795, -91.63632030840625]
22	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 5. 0. 8.]
 [3. 0. 4. 1.]]"	[1, 0]	[0.11280307860660344, -1.9250054521006064]
23	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 1. 1. 0.]
 [3. 1. 5. 0.]]"	[0, 1]	[-4.107325649481737, -3.9614834677841984]
24	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 0. 3. 1.]
 [3. 0. 4. 0.]]"	[1, 0]	[-0.963521984316408, -4.963521984316408]
25	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[1. 2. 2. 2.]
 [0. 2. 2. 2.]]"	[0, 1]	[-87.44353466890624, -86.40809113423734]
26	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[1. 2. 2. 2.]
 [0. 1. 2. 2.]]"	[0, 1]	[-87.44353466890624, -86.3736830431031]
27	"[[2. 0. 0. 1. 0. 1.]
 [2. 0. 0. 1. 0. 1.]]"	"[[6. 7. 5. 7.]
 [6. 7. 7. 7.]]"	[0, 1]	[-4.04585514795, -2.95309795]
28	"[[2. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [9. 8. 8. 9.]]"	[1, 0]	[-0.9500000000000028, -2.950000000000003]
29	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[0. 2. 1. 0.]
 [0. 9. 2. 8.]]"	[1, 0]	[-3.0374011001292374, -3.958279280974267]
30	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[7. 4. 8. 4.]
 [7. 6. 7. 7.]]"	[1, 0]	[-1.9561887081979563, -2.9540979499999978]
31	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[8. 0. 7. 2.]
 [8. 0. 8. 2.]]"	[1, 0]	[-0.8611568396385252, -1.8194321266087883]
32	"[[2. 0. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 8. 1. 6.]
 [2. 8. 3. 9.]]"	[0, 1]	[-8.120039036640847, -1.9114262236887]
33	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[3. 0. 2. 2.]
 [3. 0. 2. 2.]]"	[1, 0]	[-87.44153766790625, -88.44153766790625]
34	"[[2. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 2.]]"	"[[9. 9. 8. 9.]
 [8. 8. 8. 9.]]"	[1, 0]	[-2.0, -4.0]
35	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 3. 6. 2.]
 [7. 3. 9. 2.]]"	[0, 1]	[-5.08240770134644, -3.055687761994747]
36	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 2. 5. 0.]
 [1. 6. 1. 7.]]"	[0, 1]	[-6.03955608830411, -1.9613606806916053]
37	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 0. 3. 0.]
 [1. 0. 2. 0.]]"	[1, 0]	[-0.9291523662018548, -1.964593903869762]
38	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 4. 7. 4.]
 [7. 4. 8. 6.]]"	[0, 1]	[-3.0, 0.13456948975205307]
39	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[1. 5. 0. 4.]
 [9. 5. 9. 7.]]"	[0, 1]	[-4.072089595538905, -0.903248800050001]
40	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[6. 2. 7. 0.]
 [4. 0. 4. 0.]]"	[1, 0]	[-2.0396423053283854, -6.0]
41	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[5. 5. 6. 3.]
 [5. 2. 6. 3.]]"	[0, 1]	[-94.7207190257387, -91.59568398809785]
42	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[2. 1. 2. 2.]
 [0. 1. 2. 2.]]"	[0, 1]	[-87.44153766790625, -85.3736830431031]
43	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 4. 7. 4.]
 [4. 3. 5. 3.]]"	[0, 1]	[-4.043811291802044, -1.9593636796915987]
44	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[7. 2. 7. 0.]
 [3. 0. 6. 0.]]"	[0, 1]	[-3.080325293645096, -2.87847730786644]
45	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 7. 9. 7.]
 [8. 0. 9. 0.]]"	[0, 1]	[-3.0, -1.9594152701137588]
46	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[4. 7. 5. 7.]
 [4. 7. 4. 8.]]"	[1, 0]	[-1.95519070719795, -3.95519070719795]
47	"[[2. 0. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 4. 4. 1.]
 [9. 0. 8. 0.]]"	[0, 1]	[-6.119788092600615, -4.040584729886241]
48	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[2. 4. 2. 2.]
 [0. 1. 2. 2.]]"	[0, 1]	[-88.56108430510974, -86.3736830431031]
49	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 1. 1. 0.]
 [3. 1. 4. 0.]]"	[1, 0]	[-5.107325649481737, -6.0]
50	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 2. 7. 0.]
 [7. 2. 7. 3.]]"	[0, 1]	[-3.080325293645096, -1.9582752869702702]
51	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 7. 2. 8.]
 [4. 8. 4. 9.]]"	[0, 1]	[-8.04376448350925, -1.9541448520499998]
52	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[5. 6. 3. 5.]
 [0. 5. 3. 5.]]"	[0, 1]	[-95.76448350924795, -87.52651622979965]
53	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 9. 0. 7.]
 [7. 6. 8. 8.]]"	[0, 1]	[-5.078318317615114, 0.14385204999999956]
54	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[4. 9. 5. 9.]
 [7. 8. 8. 8.]]"	[1, 0]	[-1.95309795, -2.950000000000003]
55	"[[2. 0. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 8. 1. 6.]
 [2. 8. 4. 9.]]"	[0, 1]	[-8.120039036640847, 0.13442892426130015]
56	"[[1. 0. 0. 1. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 1. 3. 0.]
 [7. 5. 8. 7.]]"	[0, 1]	[-8.114550636203504, 0.13870819795000955]
57	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 6. 0. 5.]
 [1. 6. 0. 7.]]"	[0, 1]	[-5.074163759298209, -3.0]
58	"[[1. 0. 1. 0. 0. 1.]
 [0. 0. 1. 0. 0. 2.]]"	"[[5. 7. 3. 6.]
 [3. 9. 3. 6.]]"	[1, 0]	[-97.80929280205001, -98.80929280205001]
59	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 6. 7. 5.]
 [0. 6. 2. 7.]]"	[0, 1]	[-7.039858147950014, 0.11491899760421376]
60	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 5. 7. 4.]
 [7. 0. 9. 1.]]"	[0, 1]	[-4.043811291802044, -0.9763067805876631]
61	"[[3. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 8. 9. 5.]
 [9. 7. 8. 7.]]"	[0, 1]	[-8.146701199950002, -6.950049999999997]
62	"[[2. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1.]]"	"[[9. 7. 8. 9.]
 [6. 9. 8. 9.]]"	[1, 0]	[0.09994999999999976, -0.9500000000000028]
63	"[[1. 0. 0. 1. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[8. 6. 7. 6.]
 [8. 6. 7. 8.]]"	[0, 1]	[-5.045902050000002, -3.95205]
64	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[0. 6. 0. 6.]
 [0. 6. 2. 7.]]"	[0, 1]	[-3.0, 0.11491899760421376]
65	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[3. 1. 2. 0.]
 [5. 8. 7. 9.]]"	[0, 1]	[-4.071919553351499, -0.8551479500000028]
66	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[8. 5. 7. 3.]
 [8. 4. 9. 6.]]"	[0, 1]	[-6.131434920262301, 0.039858147950013745]
67	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 8. 4. 6.]
 [5. 8. 7. 9.]]"	[0, 1]	[-6.134428924261293, -0.8551479500000028]
68	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[4. 3. 2. 2.]
 [2. 1. 2. 2.]]"	[0, 1]	[-91.59568398809785, -88.44153766790625]
69	"[[2. 0. 0. 1. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 7. 7. 5.]
 [0. 8. 0. 9.]]"	[0, 1]	[-7.1387081979500095, -1.9603210016932806]
70	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 8. 0. 8.]
 [0. 8. 3. 8.]]"	[0, 1]	[-3.0, 0.1251642008417022]
71	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 8. 3. 8.]
 [4. 8. 5. 9.]]"	[0, 1]	[-7.04480929280205, -0.9072428020499999]
72	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 0. 6. 0.]
 [8. 0. 8. 1.]]"	[0, 1]	[-5.981084796306689, -1.9594152701137588]
73	"[[2. 0. 0. 1. 0. 1.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 2. 6. 0.]
 [5. 4. 6. 4.]]"	[0, 1]	[-5.119927956668164, -3.953285276975258]
74	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[6. 6. 5. 7.]
 [6. 2. 8. 3.]]"	[0, 1]	[-3.0, -0.8748248181433027]
75	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 6. 8. 5.]
 [9. 6. 9. 8.]]"	[0, 1]	[-5.995002000000007, -0.9011499500000042]
76	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[3. 2. 2. 2.]
 [0. 1. 2. 2.]]"	[0, 1]	[-90.51653221580564, -85.3736830431031]
77	"[[2. 0. 0. 1. 0. 1.]
 [3. 0. 0. 0. 1. 0.]]"	"[[5. 3. 4. 1.]
 [5. 3. 7. 4.]]"	[0, 1]	[-5.119788092600615, -1.8688397981583051]
78	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 8. 1. 7.]
 [1. 8. 2. 8.]]"	[0, 1]	[-4.039678998306719, -2.958279280974267]
79	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 0. 7. 0.]
 [9. 0. 9. 0.]]"	[0, 1]	[-3.9820668631698624, -3.0]
80	"[[2. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1.]]"	"[[9. 9. 8. 9.]
 [5. 9. 8. 9.]]"	[0, 1]	[-1.0, 0.09794999999999732]
81	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 5. 1. 5.]
 [4. 0. 4. 1.]]"	[1, 0]	[-3.0, -3.9614834677841984]
82	"[[3. 0. 0. 1. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[8. 1. 8. 0.]
 [7. 5. 7. 8.]]"	[0, 1]	[-3.040584729886241, 0.13870819795000955]
83	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[4. 4. 3. 5.]
 [0. 5. 3. 5.]]"	[0, 1]	[-92.63632030840625, -87.52651622979965]
84	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 8. 1. 7.]
 [0. 8. 2. 9.]]"	[0, 1]	[-3.0, 0.1251642008417022]
85	"[[0. 0. 0. 1. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 7. 8. 7.]
 [7. 4. 9. 3.]]"	[0, 1]	[-5.950049999999997, -2.054742504499245]
86	"[[2. 0. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[6. 7. 3. 7.]
 [6. 7. 8. 8.]]"	[0, 1]	[-7.134428924261293, -0.8551479500000028]
87	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[6. 4. 6. 3.]
 [7. 1. 6. 3.]]"	[0, 1]	[-93.7247130297377, -91.64230532839126]
88	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[3. 1. 1. 0.]
 [3. 1. 2. 1.]]"	[0, 1]	[-5.107325649481737, -3.036478015683592]
89	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[5. 2. 3. 1.]
 [8. 6. 9. 6.]]"	[0, 1]	[-7.117668304508015, -2.0509000499999956]
90	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 1. 1. 0.]]"	"[[7. 0. 5. 0.]
 [7. 0. 8. 2.]]"	[0, 1]	[-7.086130807257234, -0.8779499933251671]
91	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 1. 3. 0.]
 [2. 7. 2. 8.]]"	[1, 0]	[-0.9665534663310922, -4.957279280974262]
92	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[4. 8. 3. 6.]
 [2. 4. 3. 6.]]"	[0, 1]	[-96.80929280205001, -88.56108430510974]
93	"[[2. 1. 0. 1. 0. 0.]
 [0. 1. 0. 0. 0. 2.]]"	"[[9. 8. 8. 9.]
 [6. 9. 8. 9.]]"	[1, 0]	[-0.9500000000000028, -1.9500000000000028]
94	"[[2. 0. 0. 1. 0. 1.]
 [3. 0. 0. 0. 1. 0.]]"	"[[8. 7. 7. 5.]
 [7. 5. 9. 6.]]"	[0, 1]	[-7.1387081979500095, 0.039858147950013745]
95	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 9. 1. 6.]
 [1. 9. 3. 9.]]"	[0, 1]	[-7.120039036640847, -1.9114262236887]
96	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 4. 7. 3.]
 [1. 5. 2. 7.]]"	[0, 1]	[-6.032782471512256, 0.11491899760421376]
97	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[7. 8. 4. 8.]
 [6. 7. 7. 9.]]"	[0, 1]	[-6.14070719795, -0.8551479500000028]
98	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 1. 1. 0.]
 [3. 1. 4. 1.]]"	[0, 1]	[-4.107325649481737, -3.9614834677841984]
99	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 1. 2. 0.]
 [4. 1. 2. 0.]]"	[1, 0]	[-5.110436085567301, -6.110436085567301]
100	"[[1. 0. 1. 0. 0. 1.]
 [0. 0. 1. 0. 0. 2.]]"	"[[4. 6. 3. 6.]
 [2. 6. 3. 6.]]"	[0, 1]	[-95.7207190257387, -92.63732030840626]
101	"[[2. 0. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 8. 0. 7.]
 [2. 8. 4. 9.]]"	[0, 1]	[-8.120039036640847, 0.13442892426130015]
102	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 6. 0. 8.]
 [1. 8. 3. 9.]]"	[0, 1]	[-0.9237600007025009, 0.13029449533703286]
103	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 4. 8. 5.]
 [3. 9. 5. 9.]]"	[0, 1]	[-2.9013475512499554, -0.9072428020499999]
104	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 1. 0. 0.]]"	"[[5. 4. 6. 3.]
 [6. 2. 6. 3.]]"	[0, 1]	[-94.67799830671296, -90.64230532839126]
105	"[[1. 0. 0. 0. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 9. 1. 8.]
 [0. 7. 2. 8.]]"	[0, 1]	[-9.085485202534983, -0.879960963359153]
106	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 1. 0. 0. 2.]]"	"[[5. 7. 3. 6.]
 [3. 9. 3. 6.]]"	[1, 0]	[-96.80929280205001, -98.80929280205001]
107	"[[1. 1. 0. 0. 0. 1.]
 [0. 1. 0. 0. 0. 2.]]"	"[[9. 8. 8. 9.]
 [6. 8. 8. 9.]]"	[0, 1]	[-2.950000000000003, -0.9020500000000027]
108	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 8. 9. 9.]
 [9. 8. 8. 8.]]"	[1, 0]	[-1.9500000000000028, -5.950000000000003]
109	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 2. 0.]]"	"[[8. 1. 7. 1.]
 [8. 1. 8. 2.]]"	[1, 0]	[-2.942424557841477, -3.8600168564950295]
110	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 9. 2. 7.]
 [2. 6. 1. 6.]]"	[0, 1]	[-10.131294495337038, -4.036640319308404]
111	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 2. 0.]]"	"[[9. 2. 9. 0.]
 [9. 2. 8. 2.]]"	[1, 0]	[-5.084295381510216, -5.944312238005246]
112	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 9. 0. 7.]
 [1. 9. 4. 9.]]"	[0, 1]	[-7.120039036640847, 0.13442892426130015]
113	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 6. 2. 4.]
 [3. 8. 4. 9.]]"	[0, 1]	[-4.039595683988111, -0.9093355592479497]
114	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 8. 3. 7.]
 [5. 8. 3. 9.]]"	[0, 1]	[-8.134428924261293, -4.04585514795]
115	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[1. 2. 2. 2.]
 [1. 0. 2. 2.]]"	[0, 1]	[-87.44353466890624, -86.3706900341081]
116	"[[1. 0. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 8. 1. 7.]
 [3. 9. 1. 9.]]"	[0, 1]	[-10.125164200841702, -9.0885737763113]
117	"[[2. 0. 0. 0. 0. 1.]
 [3. 0. 0. 0. 1. 0.]]"	"[[5. 3. 4. 1.]
 [5. 3. 6. 4.]]"	[0, 1]	[-6.119788092600615, -2.911607278668548]
118	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 0. 0. 1.]
 [1. 8. 1. 9.]]"	[0, 1]	[-3.9970069910050015, -1.958279280974267]
119	"[[2. 0. 1. 1. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[4. 2. 6. 3.]
 [7. 1. 6. 3.]]"	[1, 0]	[-90.55608830410975, -91.64230532839126]
120	"[[2. 0. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 8. 4. 8.]
 [5. 8. 7. 9.]]"	[0, 1]	[-5.04585514795, 0.14485204999999723]
121	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[8. 6. 7. 5.]
 [8. 6. 9. 5.]]"	[0, 1]	[-5.090758197950009, -4.0987511999500015]
122	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[1. 3. 0. 3.]
 [1. 3. 3. 2.]]"	[0, 1]	[-4.0364800146835975, -1.9634824677841962]
123	"[[1. 1. 0. 0. 0. 1.]
 [0. 1. 0. 0. 0. 2.]]"	"[[6. 9. 8. 9.]
 [7. 7. 8. 9.]]"	[0, 1]	[-0.9500000000000028, 0.09794999999999732]
124	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 9. 6. 9.]
 [0. 4. 1. 6.]]"	[0, 1]	[-1.9520499999999998, 0.1096902755280098]
125	"[[1. 0. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[4. 0. 5. 1.]
 [3. 0. 4. 1.]]"	[1, 0]	[-1.9219273794800884, -2.9250054521006064]
126	"[[2. 0. 1. 1. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [5. 3. 6. 3.]]"	[1, 0]	[-91.63632030840625, -92.63632030840625]
127	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 9. 9. 8.]
 [6. 0. 7. 0.]]"	[1, 0]	[-3.049999999999997, -3.960397336976932]
128	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[0. 6. 0. 5.]
 [8. 0. 9. 2.]]"	[0, 1]	[-4.036563079309104, -0.8751198886035425]
